"inst_id","type","name","department","address","city","state","zip"
"1","Academia","Michigan State University","Computer Science & Engineering",NULL,"East Lansing","Michigan",NULL
"4","Organization","Orion","Drone Technology",NULL,"Istanbul","Turkey",NULL
